"Story","Title","Result","Date","Stability","Duration (s)"
"Consultar detalle de Beneficios por colaboradores","Consultar Beneficios por CEDULA","SUCCESS","2023-03-03T13:28:58.2024379-05:00[America/Bogota]","0.0","236.4"
"Consultar detalle de Beneficios por colaboradores","Consultar Beneficios NOMBRE","SUCCESS","2023-03-03T13:32:54.7652957-05:00[America/Bogota]","0.0","248.08"
"Consultar detalle de Beneficios por colaboradores","Consultar Beneficios por CEDULA Inexistente","SUCCESS","2023-03-03T13:37:03.0543481-05:00[America/Bogota]","0.0","238.63"
"Consultar detalle de Beneficios por colaboradores","Consultar  por TIPO DE BENEFICIO","SUCCESS","2023-03-03T13:41:01.8461634-05:00[America/Bogota]","0.0","244.67"
"Consultar detalle de Beneficios por colaboradores","Consultar Beneficios por COMPAÑÍA","SUCCESS","2023-03-03T13:45:06.6813413-05:00[America/Bogota]","0.0","237.75"
"Consultar detalle de Beneficios por colaboradores","Consultar Beneficios por Filtro Auxilios","FAILURE","2023-03-03T13:49:04.5949484-05:00[America/Bogota]","0.0","275.56"
"Consultar detalle de Beneficios por colaboradores","Consultar Beneficios por Filtro Pólizas","FAILURE","2023-03-03T13:53:40.3629739-05:00[America/Bogota]","0.0","271.15"
"Editar  Monto del valor del Beneficio seleccionado","Editar valor de Beneficio por CEDULA","SUCCESS","2023-03-03T16:33:19.9690424-05:00[America/Bogota]","0.0","257.21"
"Editar  Monto del valor del Beneficio seleccionado","Editar valor de Beneficio NOMBRE","SUCCESS","2023-03-03T16:37:37.5336491-05:00[America/Bogota]","0.0","262.65"
"Editar  Monto del valor del Beneficio seleccionado","Editar valor de Beneficio Auxilios con Valor negativo","FAILURE","2023-03-03T16:42:00.3911323-05:00[America/Bogota]","0.0","253.2"
"Editar  Monto del valor del Beneficio seleccionado","Editar valor de Beneficio Auxilios con Valor cero","SUCCESS","2023-03-03T16:46:13.930937-05:00[America/Bogota]","0.0","256.52"
"Gestionar Roles para acceso de los colaboradores","Creación Rol Admin","SUCCESS","2023-03-03T12:46:29.4737274-05:00[America/Bogota]","0.0","234.05"
"Gestionar Roles para acceso de los colaboradores","Creación Rol Gestor","SUCCESS","2023-03-03T12:50:23.6992645-05:00[America/Bogota]","0.0","261.42"
"Gestionar Roles para acceso de los colaboradores","Creación Rol Auxiliar","SUCCESS","2023-03-03T12:54:45.2626743-05:00[America/Bogota]","0.0","266.99"
"Gestionar Roles para acceso de los colaboradores","Creación Rol Basic","SUCCESS","2023-03-03T12:59:12.3955087-05:00[America/Bogota]","0.0","235.28"
"Gestionar Roles para acceso de los colaboradores","Creación Rol Otro","SUCCESS","2023-03-03T13:03:07.8458561-05:00[America/Bogota]","0.0","230.51"
"Gestionar Roles para acceso de los colaboradores","Creación Rol Otro sin nombre (vacío/null)","SUCCESS","2023-03-03T13:06:58.5112722-05:00[America/Bogota]","0.0","258.76"
"Gestionar perfiles de los colaboradores","Crear usuario con perfil Admin","SUCCESS","2023-03-03T12:23:16.3059569-05:00[America/Bogota]","0.0","233.82"
"Gestionar perfiles de los colaboradores","Crear usuario con perfil Gestor","SUCCESS","2023-03-03T12:27:10.3859059-05:00[America/Bogota]","0.0","227.24"
"Gestionar perfiles de los colaboradores","Crear usuario con perfil Auxiliar","SUCCESS","2023-03-03T12:30:57.7672972-05:00[America/Bogota]","0.0","229.08"
"Gestionar perfiles de los colaboradores","Crear usuario con perfil Multi Rol (Admin/Gestor/Auxiliar/Basic)","SUCCESS","2023-03-03T12:34:47.0685307-05:00[America/Bogota]","0.0","230.23"
"Gestionar perfiles de los colaboradores","Crear usuario con perfil rol Admin con correo Failed","SUCCESS","2023-03-03T12:38:37.4822853-05:00[America/Bogota]","0.0","230.31"
"Gestionar perfiles de los colaboradores","Crear usuario con perfil sin Rol","SUCCESS","2023-03-03T12:42:27.9706141-05:00[America/Bogota]","0.0","237.2"
"Login from B2C","Login from B2C","SUCCESS","2023-03-05T21:30:06.466-05:00[America/Bogota]","0.0","45.61"
